<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20010102,235600,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010102,235700,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010102,235800,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010102,235900,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,000000,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,000100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000200,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000300,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000400,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,000500,0.9507,0.9507,0.9506,0.9507,4
EURUSD,20010103,000600,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,000700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,000800,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,000900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001200,0.9506,0.9506,0.9505,0.9506,4
EURUSD,20010103,001300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,001900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,002000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,002100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,002200,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,002300,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,002400,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,002500,0.9508,0.9510,0.9508,0.9510,4
EURUSD,20010103,002600,0.9510,0.9510,0.9509,0.9509,4
EURUSD,20010103,002700,0.9509,0.9509,0.9509,0.9509,4
EURUSD,20010103,002800,0.9509,0.9509,0.9509,0.9509,4
EURUSD,20010103,002900,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,003000,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,003100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,003200,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,003300,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,003400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,003800,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,003900,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,004000,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,004100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,004200,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,004300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,004400,0.9506,0.9506,0.9500,0.9500,4
EURUSD,20010103,004500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,004600,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,004700,0.9500,0.9500,0.9498,0.9498,4
EURUSD,20010103,004800,0.9498,0.9498,0.9496,0.9496,4
EURUSD,20010103,004900,0.9495,0.9495,0.9495,0.9495,4
EURUSD,20010103,005000,0.9495,0.9496,0.9495,0.9496,4
EURUSD,20010103,005100,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,005200,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,005300,0.9495,0.9495,0.9495,0.9495,4
EURUSD,20010103,005400,0.9494,0.9494,0.9492,0.9492,4
EURUSD,20010103,005500,0.9492,0.9493,0.9492,0.9493,4
EURUSD,20010103,005600,0.9493,0.9497,0.9493,0.9497,4
EURUSD,20010103,005700,0.9497,0.9497,0.9496,0.9496,4
EURUSD,20010103,005800,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,005900,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,010000,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,010100,0.9496,0.9496,0.9496,0.9496,4
EURUSD,20010103,010200,0.9495,0.9496,0.9495,0.9496,4
EURUSD,20010103,010300,0.9496,0.9496,0.9495,0.9495,4
EURUSD,20010103,010400,0.9495,0.9495,0.9495,0.9495,4
EURUSD,20010103,010600,0.9495,0.9495,0.9495,0.9495,4
EURUSD,20010103,010700,0.9495,0.9496,0.9495,0.9496,4
EURUSD,20010103,010800,0.9497,0.9498,0.9497,0.9498,4
EURUSD,20010103,010900,0.9498,0.9498,0.9498,0.9498,4
EURUSD,20010103,011000,0.9498,0.9499,0.9498,0.9499,4
EURUSD,20010103,011100,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,011200,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,011300,0.9500,0.9501,0.9500,0.9500,4
EURUSD,20010103,011400,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,011500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,011600,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,011700,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,011800,0.9502,0.9504,0.9502,0.9504,4
EURUSD,20010103,011900,0.9505,0.9505,0.9504,0.9505,4
EURUSD,20010103,012000,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,012100,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,012200,0.9505,0.9506,0.9505,0.9506,4
EURUSD,20010103,012300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,012400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,012500,0.9506,0.9509,0.9506,0.9508,4
EURUSD,20010103,012600,0.9509,0.9509,0.9509,0.9509,4
EURUSD,20010103,012700,0.9509,0.9509,0.9507,0.9507,4
EURUSD,20010103,012800,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,012900,0.9507,0.9508,0.9507,0.9507,4
EURUSD,20010103,013100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013200,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013300,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013400,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013500,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013600,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013700,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,013800,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,013900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,014000,0.9506,0.9506,0.9505,0.9505,4
EURUSD,20010103,014100,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,014200,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,014300,0.9505,0.9506,0.9505,0.9506,4
EURUSD,20010103,014500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,014600,0.9506,0.9506,0.9504,0.9504,4
EURUSD,20010103,014700,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,014900,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,015000,0.9505,0.9505,0.9504,0.9504,4
EURUSD,20010103,015100,0.9504,0.9504,0.9503,0.9504,4
EURUSD,20010103,015200,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,015300,0.9505,0.9506,0.9505,0.9506,4
EURUSD,20010103,015400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,015500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,015600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,015700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,015800,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,015900,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,020000,0.9504,0.9504,0.9502,0.9502,4
EURUSD,20010103,020100,0.9502,0.9502,0.9500,0.9500,4
EURUSD,20010103,020200,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,020300,0.9500,0.9500,0.9499,0.9499,4
EURUSD,20010103,020400,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,020500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,020600,0.9501,0.9501,0.9500,0.9500,4
EURUSD,20010103,020700,0.9500,0.9500,0.9498,0.9498,4
EURUSD,20010103,020800,0.9498,0.9499,0.9498,0.9499,4
EURUSD,20010103,020900,0.9499,0.9499,0.9498,0.9498,4
EURUSD,20010103,021000,0.9498,0.9498,0.9498,0.9498,4
EURUSD,20010103,021100,0.9498,0.9498,0.9498,0.9498,4
EURUSD,20010103,021200,0.9498,0.9498,0.9498,0.9498,4
EURUSD,20010103,021300,0.9498,0.9498,0.9498,0.9498,4
EURUSD,20010103,021400,0.9498,0.9498,0.9498,0.9498,4
EURUSD,20010103,021500,0.9499,0.9502,0.9499,0.9502,4
EURUSD,20010103,021600,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,021700,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,021800,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,021900,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,022000,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,022100,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,022200,0.9503,0.9508,0.9503,0.9508,4
EURUSD,20010103,022300,0.9508,0.9508,0.9507,0.9507,4
EURUSD,20010103,022400,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,022500,0.9507,0.9507,0.9506,0.9507,4
EURUSD,20010103,022600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,022700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,022800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,022900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,023000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,023100,0.9506,0.9506,0.9505,0.9505,4
EURUSD,20010103,023200,0.9504,0.9504,0.9503,0.9503,4
EURUSD,20010103,023300,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,023400,0.9503,0.9503,0.9498,0.9500,4
EURUSD,20010103,023500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,023600,0.9500,0.9502,0.9500,0.9502,4
EURUSD,20010103,023700,0.9502,0.9503,0.9502,0.9503,4
EURUSD,20010103,023800,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,023900,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,024000,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,024100,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,024200,0.9502,0.9502,0.9501,0.9502,4
EURUSD,20010103,024300,0.9502,0.9502,0.9500,0.9500,4
EURUSD,20010103,024400,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,024500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,024600,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,024700,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,024800,0.9500,0.9500,0.9499,0.9499,4
EURUSD,20010103,024900,0.9500,0.9500,0.9499,0.9499,4
EURUSD,20010103,025000,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025100,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025200,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025300,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025400,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025500,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025600,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025700,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025800,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,025900,0.9499,0.9499,0.9499,0.9499,4
EURUSD,20010103,030000,0.9499,0.9500,0.9499,0.9500,4
EURUSD,20010103,030100,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030200,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030300,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030400,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030600,0.9499,0.9500,0.9499,0.9500,4
EURUSD,20010103,030700,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030800,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,030900,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031000,0.9500,0.9502,0.9500,0.9502,4
EURUSD,20010103,031100,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031200,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031300,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031400,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031500,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031600,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031700,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031800,0.9500,0.9500,0.9500,0.9500,4
EURUSD,20010103,031900,0.9500,0.9502,0.9500,0.9502,4
EURUSD,20010103,032000,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,032100,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,032200,0.9502,0.9502,0.9501,0.9502,4
EURUSD,20010103,032300,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,032400,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,032500,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,032600,0.9503,0.9506,0.9500,0.9500,4
EURUSD,20010103,032700,0.9500,0.9501,0.9500,0.9501,4
EURUSD,20010103,032800,0.9502,0.9502,0.9501,0.9502,4
EURUSD,20010103,032900,0.9502,0.9502,0.9502,0.9502,4
EURUSD,20010103,033000,0.9502,0.9507,0.9502,0.9507,4
EURUSD,20010103,033100,0.9506,0.9507,0.9503,0.9503,4
EURUSD,20010103,033200,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,033300,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,033400,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,033500,0.9503,0.9503,0.9502,0.9503,4
EURUSD,20010103,033600,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,033700,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,034400,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,034500,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,034600,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,034700,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,034800,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,034900,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035000,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035100,0.9503,0.9503,0.9502,0.9503,4
EURUSD,20010103,035200,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035300,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035400,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035500,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035600,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035800,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,035900,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,040000,0.9503,0.9503,0.9503,0.9503,4
EURUSD,20010103,040100,0.9503,0.9504,0.9503,0.9504,4
EURUSD,20010103,040200,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040300,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040400,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040500,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040600,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040700,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040800,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,040900,0.9504,0.9506,0.9504,0.9505,4
EURUSD,20010103,041000,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041100,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041300,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041400,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041500,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041600,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041700,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,041800,0.9505,0.9505,0.9504,0.9504,4
EURUSD,20010103,041900,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,042000,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,042100,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,042200,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,042300,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,042400,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,042500,0.9504,0.9505,0.9504,0.9505,4
EURUSD,20010103,042600,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,042700,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,042800,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,042900,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,043000,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,043100,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,043200,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,043300,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,043400,0.9505,0.9505,0.9504,0.9504,4
EURUSD,20010103,043500,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,043600,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,043800,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,043900,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,044000,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,044100,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,044200,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,044300,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,044400,0.9506,0.9506,0.9505,0.9505,4
EURUSD,20010103,044500,0.9504,0.9506,0.9504,0.9506,4
EURUSD,20010103,044600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,044700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,044800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,044900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045200,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,045900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050200,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,050900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,051000,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,051100,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,051200,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,051300,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,051400,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,051500,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,051600,0.9507,0.9507,0.9506,0.9506,4
EURUSD,20010103,051700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,051800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,051900,0.9506,0.9506,0.9505,0.9505,4
EURUSD,20010103,052000,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,052100,0.9505,0.9506,0.9505,0.9506,4
EURUSD,20010103,052200,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,052300,0.9506,0.9506,0.9505,0.9505,4
EURUSD,20010103,052400,0.9505,0.9506,0.9505,0.9506,4
EURUSD,20010103,052500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,052700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,052800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,052900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053200,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053700,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,053900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,054000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,054100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,054200,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,054300,0.9506,0.9507,0.9506,0.9507,4
EURUSD,20010103,054400,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,054500,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,054600,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,054700,0.9507,0.9507,0.9507,0.9507,4
EURUSD,20010103,054800,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,054900,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055000,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055100,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055200,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055300,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055400,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055500,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055600,0.9506,0.9506,0.9506,0.9506,4
EURUSD,20010103,055700,0.9506,0.9506,0.9505,0.9505,4
EURUSD,20010103,055800,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,055900,0.9505,0.9505,0.9505,0.9505,4
EURUSD,20010103,060100,0.9505,0.9505,0.9504,0.9505,4
EURUSD,20010103,060200,0.9505,0.9505,0.9504,0.9504,4
EURUSD,20010103,060300,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,060400,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,060500,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,060600,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,060700,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,060800,0.9504,0.9504,0.9504,0.9504,4
EURUSD,20010103,060900,0.9503,0.9504,0.9503,0.9504,4
EURUSD,20010103,061000,0.9505,0.9505,0.9504,0.9504,4
